Ejercicio;Brand;Ind;Cantidad Total;Source;Cantidad de países en los que opera ;Qué muestra?;Check;Observaciones;;;;
2003;Inditex;pr;278976771;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2002;Inditex;pr;236201643;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2001;Inditex;pr;181935742;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2020;Inditex;e;;;Cantidad de Empleados ;Producción;;;;;;
2019;Inditex;e;176611;Memoria Anual Inditex 2019, Pág. 14;Cantidad de Empleados ;Producción;;;;;;
2018;Inditex;e;174386;"Memoria Anual Inditex 2018, ""Pág. 21""";Cantidad de Empleados ;Producción;ok;;;;;
2008;Inditex;mo;73;Memoria Anual Inditex 2008, Pág. 18;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2007;Inditex;mo;68;Informe Anual Inditex 2007, Pág. 43;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2006;Inditex;mo;64;Informe Económico Financiero - Inditex 2006, Pág. 54;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2005;Inditex;mo;62;Informe Económico Financiero - Inditex 2006, Pág. 54;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2004;Inditex;mo;56;Informe Económico Financiero - Inditex 2006, Pág. 54;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2003;Inditex;mo;48;Informe Anual Inditex, 2003, Pág. 11;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2002;Inditex;mo;44;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2001;Inditex;mo;39;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2000;Inditex;mo;33;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
1999;Inditex;mo;30;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
1998;Inditex;mo;21;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
1997;Inditex;mo;14;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
1996;Inditex;mo;10;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2017;Inditex;e;171839;"Memoria Anual Inditezx 2018, ""Pág. 21""";Cantidad de Empleados ;Producción;ok;;;;;
2016;Inditex;e;162450;"Memoria Anual Inditezx 2018, ""Pág. 21""";Cantidad de Empleados ;Producción;ok;;;;;
2015;Inditex;e;152854;Memoria Anual Inditex 2015, Pág. 2.;Cantidad de Empleados ;Producción;ok;;;;;
2014;Inditex;e;137054;Memoria Anual Inditex 2015, Pág. 2.;Cantidad de Empleados ;Producción;ok;;;;;
2013;Inditex;e;128313;Memoria Anual Inditex 2015, Pág. 2.;Cantidad de Empleados ;Producción;ok;;;;;
2012;Inditex;e;120314;Memoria Anual Inditex 2015, Pág. 2.;Cantidad de Empleados ;Producción;ok;;;;;
2011;Inditex;e;109512;Memoria Anual Inditex 2015, Pág. 2.;Cantidad de Empleados ;Producción;ok;;;;;
2010;Inditex;e;100138;Memoria Anual Inditex, 2013, Pág. 3;Cantidad de Empleados ;Producción;ok;;;;;
2009;Inditex;e;92301;Memoria Anual Inditex, 2013, Pág. 3;Cantidad de Empleados ;Producción;ok;;;;;
2008;Inditex;e;89112;"Informe Anual Inditex, 2010, ""Pág. 16""";Cantidad de Empleados ;Producción;ok;;;;;
2007;Inditex;e;79517;"Informe Anual Inditex, 2010, ""Pág. 16""";Cantidad de Empleados ;Producción;ok;;;;;
2006;Inditex;e;69260;"Inditex 2006, Informe Social y Medioambiental, ""Pág. 426""";Cantidad de Empleados ;Producción;ok;;;;;
2005;Inditex;e;58190;"Inditex 2006, Informe Social y Medioambiental, ""Pág. 426""";Cantidad de Empleados ;Producción;ok;;;;;
2004;Inditex;e;47066;"Inditex 2006, Informe Social y Medioambiental, ""Pág. 426""";Cantidad de Empleados ;Producción;ok;;;;;
2003;Inditex;e;39179;"Inditex 2006, Informe Social y Medioambiental, ""Pág. 426""";Cantidad de Empleados ;Producción;ok;;;;;
2002;Inditex;e;32535;Memoria Anual Inditex, 2002. Pág. 11;Cantidad de Empleados ;Producción;ok;;;;;
2001;Inditex;e;26724;Memoria Anual Inditex, 2001, Pág. 7;Cantidad de Empleados ;Producción;ok;;;;;
2000;Inditex;e;24004;Memoria Anual Inditex, 2001, Pág. 8;Cantidad de Empleados ;Producción;ok;;;;;
1999;Inditex;e;18200;Memoria Anual Inditex, 2001, Pág. 9;Cantidad de Empleados ;Producción;ok;;;;;
1998;Inditex;e;15576;Memoria Anual Inditex, 2001, Pág. 10;Cantidad de Empleados ;Producción;ok;;;;;
1997;Inditex;e;10891;Memoria Anual Inditex, 2001, Pág. 11;Cantidad de Empleados ;Producción;ok;;;;;
1996;Inditex;e;8412;Memoria Anual Inditex, 2001, Pág. 12;Cantidad de Empleados ;Producción;ok;;;;;
2000;Inditex;vsup;539600;Informe Anual Inditex 2001, Pág. 66;superficie total de venta ;;ok;;;;;
1999;Inditex;vsup;401000;Informe Anual Inditex 1999, Pág. 27;superficie total de venta ;;ok;Supera los 400.000. no está la cifra exacta;;;;
1998;Inditex;vsup;327490;Informe Anual Inditex 1998, Pág. 8;superficie total de venta ;;ok;;;;;
1997;Inditex;vsup;261372;Informe Anual Inditex 1998, Pág. 8;superficie total de venta ;;ok;;;;;
1996;Inditex;vsup;233374;Informe Anual Inditex 1998, Pág. 8;superficie total de venta ;;ok;;;;;
2000;Inditex;vAm;0,151;Informe Anual Inditex 2001, Pág. 67;Ventas América;;;;;;;
1999;Inditex;vAm;;;Ventas América;;;;;;;
1998;Inditex;vAm;;;Ventas América;;;;;;;
1997;Inditex;vAm;;;Ventas América;;;;;;;
1996;Inditex;vAm;;;Ventas América;;;;;;;
2000;Inditex;vAsm;0,078;Informe Anual Inditex 2001, Pág. 67;Ventas Asia y resto del mundo;;;;;;;
1999;Inditex;vAsm;;;Ventas Asia y resto del mundo;;;;;;;
1998;Inditex;vAsm;;;Ventas Asia y resto del mundo;;;;;;;
1997;Inditex;vAsm;;;Ventas Asia y resto del mundo;;;;;;;
1996;Inditex;vAsm;;;Ventas Asia y resto del mundo;;;;;;;
2000;Inditex;vEsp;0,476;Informe Anual Inditex 2001, Pág. 67;Ventas España;volumen de negocio;ok;;;;;
1999;Inditex;vEsp;0,52;Informe Anual Inditex 2000, Pág. 30;Ventas España;volumen de negocio;ok;;;;;
1998;Inditex;vEsp;0,54;Informe Anual Inditex 2000, Pág. 30;Ventas España;volumen de negocio;ok;;;;;
1997;Inditex;vEsp;0,57;Memoria Anual Inditex 2001, Pág. 7;Ventas España;;ok;;;;;
1996;Inditex;vEsp;0,74;Memoria Anual Inditex 2001, Pág. 7;Ventas España;;ok;;;;;
2000;Inditex;vUE;0,296;Informe Anual Inditex 2001, Pág. 67;Ventas Europa sin España;;;;;;;
1999;Inditex;vUE;;;Ventas Europa sin España;;;;;;;
1998;Inditex;vUE;;;Ventas Europa sin España;;;;;;;
1997;Inditex;vUE;;;Ventas Europa sin España;;;;;;;
1996;Inditex;vUE;;;Ventas Europa sin España;;;;;;;
2020;Inditex;vol;;;Ventas on line;;;;;;;
2019;Inditex;vol;0,14;Memoria Anual Inditex 2019, Pág. 12;Ventas on line;;;;;;;
2018;Inditex;vol;0,12;;Ventas on line;;;;;;;
2017;Inditex;vol;0,1;;Ventas on line;;;;;;;
2016;Inditex;vol;;;Ventas on line;;;;;;;
2015;Inditex;vol;;;Ventas on line;;;;;;;
2014;Inditex;vol;;;Ventas on line;;;;;;;
2013;Inditex;vol;;;Ventas on line;;;;;;;
2012;Inditex;vol;;;Ventas on line;;;;;;;
2011;Inditex;vol;;;Ventas on line;;;;;;;
2010;Inditex;vol;;;Ventas on line;;;;;;;
2009;Inditex;vol;;;Ventas on line;;;;;;;
2008;Inditex;vol;;;Ventas on line;;;;;;;
2007;Inditex;vol;;;Ventas on line;;;;;;;
2020;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2019;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2018;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2017;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2016;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2015;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2014;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2013;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2012;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2011;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2010;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2009;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2008;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2007;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2006;Inditex;tAm;252;Informe Anual Inditex 2006, Pág.47;Tiendas en América;Internacionalización ;;;;;;
2005;Inditex;tAm;211;Informe Anual Inditex 2005, Pág.65;Tiendas en América;Internacionalización ;;ok;;;;
2004;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2003;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2002;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2001;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2000;Inditex;tAm;71;Informe Anual Inditex 2000, Pág. 12;Tiendas en América;Internacionalización ;ok;;;;;
1999;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
1998;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
1997;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
1996;Inditex;tAm;;;Tiendas en América;Internacionalización ;;;;;;
2020;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2019;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2018;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2017;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2016;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2015;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2014;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2013;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2012;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2011;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2010;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2009;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2008;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2007;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2006;Inditex;tUE;2375;;Tiendas en Europa;Internacionalización ;;;;;;
2005;Inditex;tUE;848;Informe Anual Inditex 2005, Pág.65;Tiendas en Europa;Internacionalización ;;ok;;;;
2004;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2003;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2002;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2001;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2000;Inditex;tUE;943;Informe Anual Inditex 2000, Pág. 13;Tiendas en Europa;Internacionalización ;ok;;;;;
1999;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
1998;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
1997;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
1996;Inditex;tUE;;;Tiendas en Europa;Internacionalización ;;;;;;
2020;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2019;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2018;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2017;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2016;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2015;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2014;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2013;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2012;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2011;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2010;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2009;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2008;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2007;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2006;Inditex;trm;218;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2005;Inditex;trm;172;Informe Anual Inditex 2005, Pág.65;Tiendas Asia y resto del mundo;Internacionalización ;;ok;;;;
2004;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2003;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2002;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2001;Inditex;trm;;;Tiendas Asia y resto del mundo;Internacionalización ;;;;;;
2020;Inditex;anm;;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2019;Inditex;anm;;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2018;Inditex;anm;0;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2017;Inditex;anm;3;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2016;Inditex;anm;5;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2015;Inditex;anm;0;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2014;Inditex;anm;1;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2013;Inditex;anm;1;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2012;Inditex;anm;4;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2011;Inditex;anm;5;Informe Anual inditex 2011, Pág. 20;Aperturas en nuevos mercados ;Expansión Internacional;;Azerbaiyán, Taiwán, Perú, Sudáfrica y Australia;;;;
2010;Inditex;anm;3;Informe Anual Inditex 2010, Pág. 78;Aperturas en nuevos mercados ;Expansión Internacional;;India, Bulgaria y Kazajstán.;;;;
2009;Inditex;anm;1;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2008;Inditex;anm;5;Informe Anual Inditex 2008, Pág, 57;Aperturas en nuevos mercados ;Expansión Internacional;;Ucrania, Montenegro, Honduras, Egipto y Corea del Sur ;;;;
2007;Inditex;anm;4;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2006;Inditex;anm;2;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2005;Inditex;anm;6;Informe anual Inditex 2006, Pág. 39;Aperturas en nuevos mercados ;Expansión Internacional;;Serbia y Túnez;;;;
2004;Inditex;anm;8;Informe Anual Inditex 2004, Pág. 3;Aperturas en nuevos mercados ;Expansión Internacional;;Hungría, Rumania, Estonia, Letonia, Lituania,;;;;
2003;Inditex;anm;4;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2002;Inditex;anm;5;Informe Anual Inditex 2002, Pág. 10;Aperturas en nuevos mercados ;Expansión Internacional;ok;Hong Kong, Marruecos y Panamá.;;;;
2001;Inditex;anm;6;Informe Anual Inditex 2001, Pág. 4;Aperturas en nuevos mercados ;Expansión Internacional;ok;Luxemburgo, Islandia, Irlanda, Italia, República Checa, Jordania y Puerto Rico;;;;
2000;Inditex;anm;3;Memoria Anual Inditex, 2002, Pág. 37;Aperturas en nuevos mercados ;Expansión Internacional;ok;Austria, Dinamarca, Andorra y Qatar.;;;;
1999;Inditex;anm;9;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
1998;Inditex;anm;7;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
1997;Inditex;anm;4;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
1996;Inditex;anm;0;;Aperturas en nuevos mercados ;Expansión Internacional;;;;;;
2020;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2019;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2018;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2017;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2016;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2015;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2014;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2013;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2012;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2011;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2010;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2009;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2008;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2007;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2006;Inditex;tEsp;286;;Cantidad de tiendas en España;;;;;;;
2005;Inditex;tEsp;1461;Informe Anual Inditex 2005, Pág.65;Cantidad de tiendas en España;;;ok;;;;
2004;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2003;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2002;Inditex;tEsp;918;Informe Anual Inditex 2002, Pág. 10;Cantidad de tiendas en España;;;;;;;
2001;Inditex;tEsp;769;;Cantidad de tiendas en España;;;;;;;
2000;Inditex;tEsp;692;Informe Anual Inditex 2000, Pág. 38;Cantidad de tiendas en España;;ok;;;;;
1999;Inditex;tEsp;603;Informe Anual Inditex 2000, Pág. 39;Cantidad de tiendas en España;;ok;;;;;
1998;Inditex;tEsp;489;Informe Anual Inditex 2000, Pág. 40;Cantidad de tiendas en España;;ok;;;;;
1997;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
1996;Inditex;tEsp;;;Cantidad de tiendas en España;;;;;;;
2020;Inditex;et;;;Cantidad de Empleados en Tienda;Producción;;;;;;
2019;Inditex;et;;;;Producción;;;;;;
2018;Inditex;et;;;;Producción;;;;;;
2017;Inditex;et;;;;Producción;;;;;;
2016;Inditex;et;;;;Producción;;;;;;
2015;Inditex;et;;;;Producción;;;;;;
2014;Inditex;et;;;;Producción;;;;;;
2013;Inditex;et;;;;Producción;;;;;;
2012;Inditex;et;;;;Producción;;;;;;
2011;Inditex;et;;;;Producción;;;;;;
2010;Inditex;et;;;;Producción;;;;;;
2009;Inditex;et;;;;Producción;;;;;;
2008;Inditex;et;;;;Producción;;;;;;
2007;Inditex;et;;;;Producción;;;;;;
2006;Inditex;et;;;;Producción;;;;;;
2005;Inditex;et;;;;Producción;;;;;;
2004;Inditex;et;;;;Producción;;;;;;
2003;Inditex;et;;;;Producción;;;;;;
2002;Inditex;et;;;;Producción;;;;;;
2001;Inditex;et;;;;Producción;;;;;;
2000;Inditex;et;;;;Producción;;;;;;
1999;Inditex;et;;;;Producción;;;;;;
1998;Inditex;et;;;;Producción;;;;;;
1997;Inditex;et;;;;Producción;;;;;;
1996;Inditex;et;;;;Producción;;;;;;
2020;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2019;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2018;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2017;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2016;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2015;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2014;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2016;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2012;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2011;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2010;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2009;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2008;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2007;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2006;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2005;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2004;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2003;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2002;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2001;Inditex;eem;26;Informe Anual Inditex 2001, Pág. 17;Edad Media Empleados (años);Producción;;;;;;
2000;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
1999;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
1998;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
1997;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
1996;Inditex;eem;;;Edad Media Empleados (años);Producción;;;;;;
2020;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2019;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2018;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2017;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2015;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2014;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2013;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2012;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2011;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2010;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2009;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2008;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2007;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2006;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2005;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2004;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2003;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2002;Inditex;eEsp;18415;Informe Anual Inditex 2002, Pág. 66;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2001;Inditex;eEsp;15805;Informe Anual Inditex 2001, Pág. 57;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2000;Inditex;eEsp;;;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
1999;Inditex;eEsp;8529;Informe Anual Inditex 1999, Pág. 29;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
1998;Inditex;eEsp;7637;Informe Anual Inditex 1999, Pág. 29;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
1997;Inditex;eEsp;5897;Informe Anual Inditex 1999, Pág. 29;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
1996;Inditex;eEsp;6463;Informe Anual Inditex 1999, Pág. 29;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
1995;Inditex;vsup;209918;Informe Anual Inditex 1998, Pág. 8;superficie total de venta ;;ok;;;;;
1994;Inditex;vsup;184279;Informe Anual Inditex 1998, Pág. 8;superficie total de venta ;;ok;;;;;
1995;Inditex;eEsp;5627;Informe Anual Inditex 1999, Pág. 29;Cantidad de Empleados España;Mano de Obra Nacional;;;;;;
2020;Inditex;em;;;Empleadas;;;;;;;
2019;Inditex;em;;;Empleadas;;;;;;;
2018;Inditex;em;;;Empleadas;;;;;;;
2017;Inditex;em;;;Empleadas;;;;;;;
2016;Inditex;em;;;Empleadas;;;;;;;
2015;Inditex;em;;;Empleadas;;;;;;;
2014;Inditex;em;;;Empleadas;;;;;;;
2016;Inditex;em;;;Empleadas;;;;;;;
2012;Inditex;em;;;Empleadas;;;;;;;
2011;Inditex;em;;;Empleadas;;;;;;;
2010;Inditex;em;;;Empleadas;;;;;;;
2009;Inditex;em;;;Empleadas;;;;;;;
2008;Inditex;em;;;Empleadas;;;;;;;
2007;Inditex;em;;;Empleadas;;;;;;;
2006;Inditex;em;;;Empleadas;;;;;;;
2005;Inditex;em;;;Empleadas;;;;;;;
2004;Inditex;em;;;Empleadas;;;;;;;
2003;Inditex;em;;;Empleadas;;;;;;;
2002;Inditex;em;;;Empleadas;;;;;;;
2001;Inditex;em;;;Empleadas;;;;;;;
2000;Inditex;em;;;Empleadas;;;;;;;
1999;Inditex;em;;;Empleadas;;;;;;;
1998;Inditex;em;;;Empleadas;;;;;;;
1997;Inditex;em;;;Empleadas;;;;;;;
1996;Inditex;em;;;Empleadas;;;;;;;
